Manufacturer,Model,,4-year resale value,Vehicle type,Price in thousands,Engine size,Horsepower,Wheelbase,Width,Length,Curb weight,Fuel capacity,Fuel efficiency,Latest Launch,Sales in thousands
Mitsubishi,3000GT           ,,20.94,Passenger,25.45,3,161,97.2,72.4,180.3,3.131,19.8,21,29-Jun-14,0.11
Dodge,Viper            ,,58.47,Passenger,69.725,8,450,96.2,75.7,176.7,3.375,19,16,08-Jul-15,0.916
Mercedes-Benz,CL500            ,,18.07297521,Passenger,85.5,5,302,113.6,73.1,196.6,4.115,23.2,20,04-Nov-15,0.954
Oldsmobile,Cutlass          ,,11.24,Passenger,18.145,3.1,150,107,69.4,192,3.102,15.2,25,31-May-15,1.112
Porsche,Carrera Coupe    ,,60.625,Passenger,71.02,3.4,300,92.6,69.5,174.5,3.032,17,21,21-Dec-14,1.28
Audi,A8               ,,39,Passenger,62,4.2,310,113,74,198.2,3.902,23.7,21,27-Feb-14,1.38
Mercedes-Benz,SLK230           ,,18.07297521,Passenger,41,2.3,185,94.5,67.5,157.3,2.975,14,27,08-Jun-15,1.526
Porsche,Carrera Cabriolet,,67.55,Passenger,74.97,3.4,300,92.6,69.5,174.5,3.075,17,23,07-Nov-15,1.866
Plymouth,Prowler          ,,18.07297521,Passenger,43,3.5,253,113.3,76.3,165.4,2.85,12,21,27-Jun-14,1.872
Mercedes-Benz,SL-Class         ,,58.6,Passenger,82.6,5,302,99,71.3,177.1,4.125,21.1,20,17-Mar-15,3.311
Lexus,GS400            ,,18.07297521,Passenger,46.305,4,300,110.2,70.9,189.2,3.693,19.8,21,28-Nov-14,3.334
Volvo,C70              ,,18.07297521,Passenger,45.5,2.3,236,104.9,71.5,185.7,3.601,18.5,23,26-Apr-15,3.493
Volvo,V40              ,,18.07297521,Passenger,24.4,1.9,160,100.5,67.6,176.6,3.042,15.8,25,21-Sep-15,3.545
Dodge,Avenger          ,,12.545,Passenger,19.045,2.5,163,103.7,69.1,190.2,2.879,15.9,24,07-Jan-14,4.734
Saturn,SW               ,,10.79,Passenger,14.29,1.9,124,102.4,66.4,176.9,2.452,12.1,31,15-Jan-15,5.223
